Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,1,209.0,158.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,2,208.0,158.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,3,220.0,166.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,4,212.0,162.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,5,208.0,157.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,6,205.0,157.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,7,202.0,152.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,8,203.0,154.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,9,212.0,159.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelDps,10,200.0,151.0,260.15596771240234,296.43067932128906,53.559349060058594,117
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,1,834.0,632.0,1022.8386535644531,910.9486770629883,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,2,830.0,627.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,3,843.0,641.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,4,842.0,639.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,5,840.0,636.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,6,864.0,656.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,7,839.0,637.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,8,858.0,651.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,9,851.0,646.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.force,10,852.0,647.0,1022.8386535644531,910.9488372802734,166.77716064453125,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,1,866.0,647.0,1046.870101928711,910.8790512084961,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,2,888.0,670.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,3,863.0,646.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,4,847.0,632.0,1046.870101928711,910.8803176879883,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,5,846.0,631.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,6,858.0,641.0,1046.870101928711,910.879150390625,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,7,867.0,651.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,8,861.0,645.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,9,908.0,680.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^19,relabelPh.copyCR,10,905.0,680.0,1046.870101928711,910.8789749145508,166.80848693847656,422
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,1,2005.0,1603.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,2,2011.0000000000002,1609.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,3,2017.9999999999998,1616.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,4,1996.0,1595.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,5,1990.0,1592.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,6,1990.0,1591.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,7,2053.0,1643.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,8,1988.0,1591.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,9,1993.0,1593.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelDps,10,2001.9999999999998,1600.0,2080.3747329711914,2941.1396255493164,512.2524032592773,1095
DPS interface for compact regions/Breadth-first tree traversal,2^22,relabelPh.force,1,6875.0,5231.0,8183.712844848633,7287.712188720703,1328.219612121582,3294
