Test Description,Size,Method,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/map on List,2^16,mapDpsFoldL,10.1,3.2,16.727,3.7389,4.5659,13
DPS interface for compact regions/map on List,2^16,mapDpsFoldLS,9.6,3.1,14.728,3.4761,4.2405,14
DPS interface for compact regions/map on List,2^16,mapDpsFoldS,7,2,9.1353,2.1732,0.034821,11
DPS interface for compact regions/map on List,2^16,mapDpsFoldSL,7.1,2,11.135,2.5622,2.5453,11
DPS interface for compact regions/map on List,2^16,mapDpsTRL,7,2,10.132,2.1731,0.034821,11
DPS interface for compact regions/map on List,2^16,mapDpsTRS,7.6,2.1,8.1324,2.1732,0.034821,11
DPS interface for compact regions/map on List,2^16,mapL.copyCR,8,3,13.63,3.3853,2.5567,11
DPS interface for compact regions/map on List,2^16,mapL.force,7.2,4,11.099,4.6729,2.5316,11
DPS interface for compact regions/map on List,2^16,mapS.copyCR,7.5,2,11.162,2.2394,2.5669,12
DPS interface for compact regions/map on List,2^16,mapS.force,6,2,8.6305,2.1726,0.034821,10
DPS interface for compact regions/map on List,2^16,mapSH.copyCR,7.4,2.3,11.631,2.8071,2.541,11
DPS interface for compact regions/map on List,2^16,mapSH.force,7,4,9.0997,4.6728,2.5316,11
DPS interface for compact regions/map on List,2^16,mapST.copyCR,10,4.1,13.163,6.5526,4.4739,14
DPS interface for compact regions/map on List,2^16,mapST.force,9.1,4.2,10.631,6.5528,4.4428,14
DPS interface for compact regions/map on List,2^16,mapTRL.copyCR,9.8,4.2,13.132,6.6031,4.4932,13
DPS interface for compact regions/map on List,2^16,mapTRL.force,8.6,4.2,10.6,6.6032,4.462,13
DPS interface for compact regions/map on List,2^16,mapTRS.copyCR,8.4,3.4,11.132,4.6728,2.5629,11
DPS interface for compact regions/map on List,2^16,mapTRS.force,7.1,3.1,8.6008,4.6729,2.5316,11
DPS interface for compact regions/map on List,2^16,mapTRSH.copyCR,8,3,11.133,4.6728,2.5629,11
DPS interface for compact regions/map on List,2^16,mapTRSH.force,7.3,3.1,8.6014,4.6728,2.5316,11
DPS interface for compact regions/map on List,2^16,mapTRST.copyCR,9.5,4.1,13.133,6.6023,4.4923,13
DPS interface for compact regions/map on List,2^16,mapTRST.force,8.4,4.3,10.602,6.6025,4.4612,13
